,이름,장르,총합 별점,관심수,평균 조회수,평균 업로드 간격,평균 공백 제거 글자수,평균 댓글 수,Target
32,여주 대신 악당과 결혼했다,로판,10.0,139,1311.6,0.75,3247.8,1.2,1
33,날 죽인 전남편을 짓밟으려 합니다,로판,10.0,155,1950.0,0.0,4413.0,0.8,1
34,남편이 네발로 걷는다,로판,10.0,239,2255.0,0.75,3944.8,2.8,1
35,무협 육아물로 장르를 바꿨더니 집착물이 되어간다,로판,10.0,114,803.8,0.25,4198.2,0.2,1
36,뱀파이어 공녀는 막내딸이다,로판,10.0,121,1232.0,0.0,4168.0,1.2,1
37,더는 당신의 악녀로 살지 않겠습니다.,로판,9.99,2038,22000.0,1.0,3948.0,9.0,1
38,볼모로 잡혀 갔더니 황후가 되었습니다,로판,10.0,70,1223.2,0.75,3735.0,0.2,1
39,"기생 입니다만, 북부 대공을 책임지게 되었습니다.",로판,10.0,70,720.2,0.75,4043.8,0.2,1
40,에라시아 대륙 이야기,판타지,9.99,158,8468.0,3.5,3807.4,1.2,1
41,심심한무신은이계로,판타지,9.96,217,5646.2,0.0,3829.2,1.0,1
42,더 먼치킨(The Munchkin),판타지,9.7,7864,140000.0,3.0,3227.0,34.8,1
43,우사기의 꿈,판타지,9.92,19,1177.4,1.25,1101.0,0.4,1
44,판타지무림-투신전기,판타지,9.99,177,520.0,1.25,4344.2,1.2,1
45,조선 분식집,판타지,9.93,64,803.6,1.25,1721.2,2.6,1
46,의술명가 독살 천재,판타지,10.0,8,158.6,0.25,4170.6,0.2,1
47,용마혈제,판타지,10.0,2,242.6,0.0,3045.6,0.0,1
48,이계에서 커리어 쌓기,판타지,9.98,17,394.6,0.0,977.6,0.2,1
49,군신 (軍神),판타지,9.56,112,4876.0,2.25,2397.6,2.2,1
50,창성기사,판타지,9.83,226,9923.2,1.0,5329.4,3.4,1
51,천기마대회,판타지,9.9,73,2299.2,1.0,5161.4,4.8,1
52,P.E.W 온라인,판타지,9.8,2184,30000.0,0.0,8811.0,16.0,1
53,현생이 망했는데 세계의 운명을 부탁받았다,판타지,10.0,23,608.6,0.75,3781.2,0.8,1
54,마법사는 마지막으로 환생한다,판타지,10.0,9,160.6,0.5,4667.2,0.2,1
55,"그날, 붉은 눈이 내리는 곳에 네가 있었다",판타지,9.87,10,147.0,0.5,5284.6,0.0,1
56,전생 치트로 금전운 Max! ~돈으로 마왕 토벌~,판타지,10.0,21,244.8,1.0,8629.2,1.2,1
57,신의 아이 이야기,판타지,9.38,146,2643.8,2.25,4164.0,2.8,1
58,정령사 네이아르,판타지,9.92,8612,88000.0,1.25,2477.4,25.8,1
59,코르투스 연대기,판타지,9.88,133,4821.4,0.0,3883.8,4.2,1
60,직업소개소,현판,9.98,64,3423.0,1.5,6248.8,3.2,1
61,소원을 이루는 연구소,현판,10.0,93,3286.4,0.25,2914.6,1.8,1
62,『용(龍)을 씹어먹은 조선노비』,현판,10.0,209,2517.6,2.25,5357.2,4.4,1
63,떡상,현판,10.0,8,89.8,1.0,2042.8,0.8,1
64,프리 헌터의 역대급 이중 생활,현판,9.86,355,8245.6,1.25,4354.4,3.8,1
65,시간은 금이다,현판,9.97,67,3210.6,1.5,4068.8,2.2,1
66,채굴을 시작합니다.,현판,9.59,21,381.2,0.0,1862.4,0.0,1
67,신비한 청정사,현판,10.0,16,560.0,2.25,2724.0,0.0,1
68,영력,현판,10.0,19,518.0,0.0,7078.0,0.6,1
69,죽은 눈을 가진 자,현판,10.0,7,143.8,0.25,3585.2,0.0,1
70,대한민국 의혈단,현판,10.0,7,97.8,8.5,1231.6,12.8,1
71,모태솔로 각성후 대마법사가 되다,현판,9.96,43,1719.4,1.5,4668.4,0.8,1
72,불굴의 혼,현판,9.84,114,4764.8,0.0,4645.2,3.6,1
73,천재아이돌이 능력을 안 숨김,현판,10.0,8,95.2,0.5,4576.2,0.0,1
74,조합의 서,현판,9.63,100,3688.6,1.0,4997.2,1.0,1
75,나만 빼고 각성자 - 천마귀환,현판,9.78,29,855.8,0.25,4162.2,1.6,1
76,돈의흐름,현판,10.0,15,897.8,0.0,7991.0,0.0,1
77,나만 보이는 시스템 창,현판,9.78,9,751.4,1.0,4137.6,0.0,1
78,듀얼 클래스 마스터,현판,9.14,339,11276.6,0.0,2775.4,7.0,1
79,4월의 지구는 빠삐용,현판,9.94,5,93.2,4.0,3975.8,0.0,1
80,파황천류검(破荒闡流劍),무협,10.0,90,3274.4,4.25,4025.2,0.4,1
81,현의가(玄醫家),무협,9.98,51,1736.6,0.0,4066.2,0.2,1
82,왕의 후예,무협,9.99,290,5347.6,1.25,4403.6,1.2,1
83,흑백의 대종사,무협,10.0,194,4369.4,6.25,4356.0,0.2,1
84,강현과 일격필살겸(一擊必殺鎌),무협,9.79,208,11604.6,0.25,4460.6,3.2,1
85,신(新) 질풍! 천공일섬(天功一閃),무협,9.93,119,3863.8,10.75,3519.6,0.8,1
86,암흑귀황(暗黑鬼皇),무협,10.0,84,2021.2,1.5,3633.2,0.0,1
87,거지굴의 진시황,무협,10.0,20,317.4,1.0,4380.6,0.4,1
88,천문（天門）,무협,9.99,130,6133.0,0.75,3595.4,0.8,1
89,무림세계로 온 드래곤,무협,9.97,26,524.6,1.0,5213.8,0.0,1
90,마존실록,무협,9.94,783,28000.0,0.25,6307.8,8.4,1
91,척후(斥候) - 본진을 이끌다,무협,10.0,34,1072.2,1.0,4260.0,1.0,1
92,숫타진경,무협,9.99,58,1900.6,3.25,4608.6,0.4,1
93,여진의 연인(칼과 사랑),무협,10.0,24,823.6,0.25,4572.4,0.0,1
94,내가 지존이다,무협,10.0,40,1156.2,0.5,3230.4,0.2,1
95,바둑왕비(모라왕비),무협,10.0,79,3381.8,0.25,5126.2,5.4,1
96,점소이로 살아가려면,무협,9.98,144,7970.8,1.25,3417.0,2.2,1
97,이포두,무협,9.9,4351,88000.0,8.75,2953.2,29.6,1
98,호랑이들 사이에서 여우가 살아남는 법,무협,10.0,2,39.0,1.0,2674.8,0.2,1
99,주은 일기장:______더 비기닝,미스터리,9.94,125,7343.0,8.25,1482.2,1.25,1
100,"탐정 유강인, 세상의 어둠을 밝히는 용기",미스터리,10.0,203,3271.4,1.75,4118.6,1.6,1
101,대통령과 여왕,미스터리,10.0,46,660.6,20.75,3486.2,0.4,1
102,지하 인간 생존 알고리즘,미스터리,9.98,34,3808.2,5.25,4328.4,0.4,1
103,아틀란티스 Atlantis,미스터리,10.0,10,54.8,0.75,2998.4,0.6,1
104,살인 번호,미스터리,9.81,82,1602.2,6.25,4222.2,3.2,1
105,비도(秘圖-숨겨진 그림),미스터리,9.82,109,3525.0,0.75,1399.0,2.8,1
106,너의 죄는 꿈속에서 밝혀주마-몽신 (夢神),미스터리,9.96,16,277.8,0.75,4363.4,0.0,1
107,미결,미스터리,9.86,137,1320.6,0.0,4768.4,3.0,1
108,넋건지기,미스터리,9.99,14,176.6,2.25,3479.2,0.0,1
109,"그리고, 여섯",미스터리,10.0,12,524.8,3.0,3686.8,0.2,1
110,괴담 모음집  야설(夜說),미스터리,9.73,511,11816.4,2.0,2403.2,5.0,1
111,냄새를 맡는 남자,미스터리,9.99,390,3311.2,0.0,4161.8,1.4,1
112,지워지지 않는,미스터리,10.0,14,70.6,5.0,4457.4,0.0,1
113,어덴티케이터스 -누명전담해결단-,미스터리,9.99,222,4267.2,1.75,3893.2,2.6,1
114,그림자 탐정,미스터리,9.99,30,574.6,0.0,4267.2,0.6,1
115,Wonday 괴담극장,미스터리,9.94,4,68.2,0.0,3154.0,0.0,1
116,흔한 이야기,미스터리,10.0,12,208.6,3.75,4222.2,0.0,1
117,그 와인 한 잔의 비밀 上,미스터리,10.0,5,36.6,1.75,2099.8,0.4,1
118,당신의 악플을 읽어드립니다.,라이트노벨,10.0,55,355.8,1.5,5394.6,0.0,1
